title,release_year,runtime_min,rating,summary,genres
The Silent Code,1990,117,6.3,The Silent Code is a fictional movie used for seeding the movie_rental database.,Thriller;Animation
Midnight Protocol,1995,95,8.8,Midnight Protocol is a fictional movie used for seeding the movie_rental database.,Romance;Sci-Fi
Shadow of the Server,2013,90,6.6,Shadow of the Server is a fictional movie used for seeding the movie_rental database.,Thriller;Horror
Zero Day Dreams,2002,138,6.1,Zero Day Dreams is a fictional movie used for seeding the movie_rental database.,Action
Packet Hunters,2014,141,6.4,Packet Hunters is a fictional movie used for seeding the movie_rental database.,Horror;Romance;Sci-Fi
Lost in Latency,2016,134,7.4,Lost in Latency is a fictional movie used for seeding the movie_rental database.,Fantasy;Animation
Kernel Panic,1998,90,8.8,Kernel Panic is a fictional movie used for seeding the movie_rental database.,Romance
The Last Backup,2017,106,6.1,The Last Backup is a fictional movie used for seeding the movie_rental database.,Fantasy;Family;Sci-Fi
Echoes in the Cloud,1984,115,7.3,Echoes in the Cloud is a fictional movie used for seeding the movie_rental database.,Horror;Comedy
Firewall of Fate,2012,120,7.7,Firewall of Fate is a fictional movie used for seeding the movie_rental database.,Horror;Family;Romance
Syntax Error,2019,123,7.6,Syntax Error is a fictional movie used for seeding the movie_rental database.,Animation
Quantum Rental,2001,139,8.2,Quantum Rental is a fictional movie used for seeding the movie_rental database.,Drama;Animation;Comedy
Neon Nightshift,2009,120,7.2,Neon Nightshift is a fictional movie used for seeding the movie_rental database.,Thriller;Drama
The Last VHS,2005,112,9.2,The Last VHS is a fictional movie used for seeding the movie_rental database.,Fantasy
Blu-Ray Rebellion,1989,113,9.1,Blu-Ray Rebellion is a fictional movie used for seeding the movie_rental database.,Family;Horror
Debugging Destiny,2000,122,6.8,Debugging Destiny is a fictional movie used for seeding the movie_rental database.,Drama;Romance;Fantasy
The Loop,2014,121,6.5,The Loop is a fictional movie used for seeding the movie_rental database.,Thriller
Infinite Retry,2002,102,8.0,Infinite Retry is a fictional movie used for seeding the movie_rental database.,Thriller;Drama;Action
Hidden Index,2003,142,8.8,Hidden Index is a fictional movie used for seeding the movie_rental database.,Romance
Shard of Data,2020,91,6.0,Shard of Data is a fictional movie used for seeding the movie_rental database.,Drama;Comedy
Frames Per Second,1981,98,7.4,Frames Per Second is a fictional movie used for seeding the movie_rental database.,Romance
The Projectionist,2020,143,8.4,The Projectionist is a fictional movie used for seeding the movie_rental database.,Comedy;Sci-Fi;Action
Ticket to Nowhere,2022,94,7.0,Ticket to Nowhere is a fictional movie used for seeding the movie_rental database.,Drama;Horror;Thriller
Rewind and Play,2020,94,8.2,Rewind and Play is a fictional movie used for seeding the movie_rental database.,Horror
Remote Control,2003,144,8.3,Remote Control is a fictional movie used for seeding the movie_rental database.,Thriller
Final Cut,1989,117,6.3,Final Cut is a fictional movie used for seeding the movie_rental database.,Fantasy
Scripted Lives,1997,87,6.4,Scripted Lives is a fictional movie used for seeding the movie_rental database.,Sci-Fi;Drama;Thriller
Parallel Streams,2008,90,8.0,Parallel Streams is a fictional movie used for seeding the movie_rental database.,Horror;Fantasy;Action
Haunted Cinema,1991,101,6.0,Haunted Cinema is a fictional movie used for seeding the movie_rental database.,Thriller
The Long Queue,1996,83,7.5,The Long Queue is a fictional movie used for seeding the movie_rental database.,Animation;Horror
Popcorn & Protocols,2008,136,7.7,Popcorn & Protocols is a fictional movie used for seeding the movie_rental database.,Animation;Family;Thriller
Cinema Paradigms,2007,82,8.0,Cinema Paradigms is a fictional movie used for seeding the movie_rental database.,Romance;Action
Ghost in the Lobby,2022,148,7.8,Ghost in the Lobby is a fictional movie used for seeding the movie_rental database.,Romance
Cinema of Errors,1981,110,6.4,Cinema of Errors is a fictional movie used for seeding the movie_rental database.,Drama;Thriller;Romance
Playback Failure,2005,117,8.0,Playback Failure is a fictional movie used for seeding the movie_rental database.,Drama
Out of Memory,2000,121,6.9,Out of Memory is a fictional movie used for seeding the movie_rental database.,Sci-Fi;Horror
Director's Cut,2001,110,7.5,Director's Cut is a fictional movie used for seeding the movie_rental database.,Drama;Sci-Fi
Silent Screening,2020,120,7.5,Silent Screening is a fictional movie used for seeding the movie_rental database.,Horror
Broken Reel,1988,104,8.7,Broken Reel is a fictional movie used for seeding the movie_rental database.,Sci-Fi;Fantasy
Last Screening,1999,129,7.4,Last Screening is a fictional movie used for seeding the movie_rental database.,Action;Fantasy
Matinee Madness,1987,91,7.1,Matinee Madness is a fictional movie used for seeding the movie_rental database.,Romance
Silver Screen Saga,2005,134,7.2,Silver Screen Saga is a fictional movie used for seeding the movie_rental database.,Animation;Comedy
Runtime Error,1988,149,7.4,Runtime Error is a fictional movie used for seeding the movie_rental database.,Animation;Family
Casting Shadows,2023,128,7.0,Casting Shadows is a fictional movie used for seeding the movie_rental database.,Drama;Horror;Sci-Fi
Scene Missing,1989,105,8.2,Scene Missing is a fictional movie used for seeding the movie_rental database.,Drama
Roll Credits,1982,126,7.0,Roll Credits is a fictional movie used for seeding the movie_rental database.,Thriller
Behind the Curtain,2012,106,6.9,Behind the Curtain is a fictional movie used for seeding the movie_rental database.,Comedy
The Green Room,1987,92,6.2,The Green Room is a fictional movie used for seeding the movie_rental database.,Thriller;Action;Horror
House of Frames,2024,128,8.0,House of Frames is a fictional movie used for seeding the movie_rental database.,Fantasy;Sci-Fi
